,Name,Gender,Born in,Birth,Death,Age,Movies/Series
279,Elsa Pataky,F,"Madrid, Spain",18/7/1976,Alive,46.0,56
280,Jason Statham,M,"Shirebrook, Derbyshire, England, UK",26/7/1967,Alive,55.0,55
281,Lady Gaga,F,"Manhattan, New York City, New York, USA",28/3/1986,Alive,36.0,12
282,Elisabeth Shue,F,"Wilmington, Delaware, USA",6/10/1963,Alive,58.0,61
283,Jesse Plemons,M,"Dallas, Texas, USA",2/4/1988,Alive,34.0,63
284,Giancarlo Esposito,M,"Copenhagen, Denmark",26/4/1958,Alive,64.0,189
285,Léa Seydoux,F,"Paris, France",1/7/1985,Alive,37.0,51
286,Anson Mount,M,"White Bluff, Tennessee, USA",25/2/1973,Alive,49.0,57
287,Michiel Huisman,M,"Amstelveen, Noord-Holland, Netherlands",18/7/1981,Alive,41.0,55
288,Michael Shannon,M,"Lexington, Kentucky, USA",7/8/1974,Alive,48.0,106
289,Al Pacino,M,"Manhattan, New York City, New York, USA",25/4/1940,Alive,82.0,64
290,Michelle Monaghan,F,"Winthrop, Iowa, USA",23/3/1976,Alive,46.0,53
291,Mel Gibson,M,"Peekskill, New York, USA",3/1/1956,Alive,66.0,75
292,Tawny Kitaen,F,"San Diego, California, USA",5/8/1961,7/5/2021,59.0,46
293,Will Poulter,M,"England, UK",28/1/1993,Alive,29.0,29
294,Idris Elba,M,"Hackney, London, England, UK",6/9/1972,Alive,49.0,107
295,Priah Ferguson,F,"Atlanta, Georgia, USA",1/10/2006,Alive,15.0,18
296,Robert Downey Jr.,M,"Manhattan, New York City, New York, USA",4/4/1965,Alive,57.0,93
297,Daniel Kaluuya,M,"London, England, UK",24/2/1989,Alive,33.0,47
298,Emma Thompson,F,"Paddington, London, England, UK",15/4/1959,Alive,63.0,95
299,Sienna Miller,F,"New York City, New York, USA",28/12/1981,Alive,40.0,45
300,Milly Alcock,F,,,,,14
301,Sophia Lillis,F,"Brooklyn, New York City, New York, USA",13/2/2002,Alive,20.0,18
302,Matthew Goode,M,"Exeter, Devon, England, UK",3/4/1978,Alive,44.0,51
303,Skyler Gisondo,M,"Palm Beach County, Florida, USA",22/7/1996,Alive,26.0,68
