Season,Anime Name,Anime Score,Anime Members,Anime Genres,More Info,Rank
spring,Yaku nara Mug Cup mo,6.50,42K,SliceofLife,https://myanimelist.net/anime/42568/Yaku_nara_Mug_Cup_mo,133
fall,Build Divide: Code Black,6.39,45K,Fantasy,https://myanimelist.net/anime/48776/Build_Divide__Code_Black,134
fall,Yaku nara Mug Cup mo: Niban Gama,6.80,16K,SliceofLife,https://myanimelist.net/anime/49263/Yaku_nara_Mug_Cup_mo__Niban_Gama,135
spring,Seven Knights Revolution: Eiyuu no Keishousha,6.32,49K,"Action, Adventure, Fantasy",https://myanimelist.net/anime/47391/Seven_Knights_Revolution__Eiyuu_no_Keishousha,136
winter,Skate-Leading☆Stars,6.44,37K,"Comedy, Drama, Sports",https://myanimelist.net/anime/40786/Skate-Leading☆Stars,137
winter,D4DJ Petit Mix,6.93,5.2K,Comedy,https://myanimelist.net/anime/45782/D4DJ_Petit_Mix,138
winter,Back Arrow,6.32,36K,"Action, Fantasy",https://myanimelist.net/anime/40964/Back_Arrow,139
summer,Scarlet Nexus,5.66,80K,"Action, Sci-Fi",https://myanimelist.net/anime/48492/Scarlet_Nexus,140
winter,I★Chu: Halfway Through the Idol,6.57,15K,"Comedy, SliceofLife",https://myanimelist.net/anime/39725/I★Chu__Halfway_Through_the_Idol,141
fall,Kyoukai Senki,6.32,27K,"Action, Sci-Fi",https://myanimelist.net/anime/48466/Kyoukai_Senki,142
winter,Shin Chuuka Ichiban! 2nd Season,6.64,4.9K,"Comedy, Gourmet",https://myanimelist.net/anime/40957/Shin_Chuuka_Ichiban_2nd_Season,143
spring,Sayonara Watashi no Cramer,6.09,40K,"Drama, Sports",https://myanimelist.net/anime/42774/Sayonara_Watashi_no_Cramer,144
fall,Waccha PriMagi!,6.60,4.2K,,https://myanimelist.net/anime/49285/Waccha_PriMagi,145
fall,Cardfight!! Vanguard: overDress Season 2,6.57,5.4K,Comedy,https://myanimelist.net/anime/48862/Cardfight_Vanguard__overDress_Season_2,146
fall,Puraore! Pride of Orange,6.28,23K,Sports,https://myanimelist.net/anime/44274/Puraore_Pride_of_Orange,147
winter,Hortensia Saga,5.81,52K,"Action, Adventure, Fantasy",https://myanimelist.net/anime/40961/Hortensia_Saga,148
fall,Deji Meets Girl,6.15,29K,SliceofLife,https://myanimelist.net/anime/49505/Deji_Meets_Girl,149
fall,Gyakuten Sekai no Denchi Shoujo,6.31,18K,"Action, Comedy, Sci-Fi",https://myanimelist.net/anime/48644/Gyakuten_Sekai_no_Denchi_Shoujo,150
winter,Yatogame-chan Kansatsu Nikki Sansatsume,6.37,13K,"Comedy, SliceofLife",https://myanimelist.net/anime/42959/Yatogame-chan_Kansatsu_Nikki_Sansatsume,151
winter,World Witches Hasshin Shimasu!,6.43,10K,Comedy,https://myanimelist.net/anime/42506/World_Witches_Hasshin_Shimasu,152
fall,Blade Runner: Black Lotus,6.21,21K,"Sci-Fi, Suspense",https://myanimelist.net/anime/38749/Blade_Runner__Black_Lotus,153
winter,Majutsushi Orphen Hagure Tabi: Kimluck-hen,6.17,23K,"Action, Adventure, Drama, Fantasy",https://myanimelist.net/anime/41573/Majutsushi_Orphen_Hagure_Tabi__Kimluck-hen,154
winter,Wave!! Surfing Yappe!! (TV),5.83,45K,"SliceofLife, Sports",https://myanimelist.net/anime/46118/Wave_Surfing_Yappe_TV,155
winter,Aikatsu Planet!,6.45,2.9K,SliceofLife,https://myanimelist.net/anime/42653/Aikatsu_Planet,156
summer,Tsukipro The Animation 2,6.35,6.6K,,https://myanimelist.net/anime/37008/Tsukipro_The_Animation_2,157
fall,Megaton-kyuu Musashi,6.18,12K,"Action, Sci-Fi",https://myanimelist.net/anime/33737/Megaton-kyuu_Musashi,158
winter,Project Scard: Praeter no Kizu,5.86,31K,Action,https://myanimelist.net/anime/42825/Project_Scard__Praeter_no_Kizu,159
spring,Cestvs: The Roman Fighter,5.96,19K,"Action, Drama",https://myanimelist.net/anime/43763/Cestvs__The_Roman_Fighter,160
fall,Muv-Luv Alternative,5.73,32K,"Action, Drama, Sci-Fi",https://myanimelist.net/anime/40608/Muv-Luv_Alternative,161
spring,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,5.89,20K,"Action, SliceofLife",https://myanimelist.net/anime/45665/Fairy_Ranmaru__Anata_no_Kokoro_Otasuke_Shimasu,162
spring,Blue Reflection Ray,5.79,26K,,https://myanimelist.net/anime/47639/Blue_Reflection_Ray,163
summer,Getter Robo Arc,6.11,4.7K,"Action, Sci-Fi",https://myanimelist.net/anime/43741/Getter_Robo_Arc,164
summer,D_Cide Traumerei the Animation,5.81,22K,"Action, Drama, Fantasy",https://myanimelist.net/anime/48470/D_Cide_Traumerei_the_Animation,165
